Date,Description,Category,Deposits,Withdrawals,Account,Notes
1/27,Whataburger 761 Phoenix AZ,Meals,,-13.78,Credit Card 4026,Food
1/27,Circle K 05298 Phoenix AZ,Fuel,,-72.26,Credit Card 4026,Gas
1/27,Circle K 05298 Phoenix AZ,Fuel,,-6.18,Credit Card 4026,Gas
1/27,Circle K 06661 Mesa AZ,Fuel,,-5.08,Credit Card 4026,Gas
1/27,Mills Modern Social Tempe AZ,PERSONAL,,-43.65,Credit Card 4026,⚠️ Personal - bar/restaurant
1/28,Circle K 01621 Tempe AZ,Fuel,,-7.20,Credit Card 4026,Gas
1/28,QT 1428 Phoenix AZ,Fuel,,-8.87,Credit Card 4026,Gas
1/28,WM Supercenter #5768 Tempe AZ,Supplies,,-10.77,Credit Card 4026,Supplies
1/28,Waldman Dental Group Scottsdale AZ,PERSONAL,,-47.40,Credit Card 4026,⚠️ Personal - dental
1/30,Aldi 79155 Tempe AZ,PERSONAL,,-13.67,Credit Card 4026,⚠️ Personal - groceries
1/31,TST Dog Haus Biergart Chandler AZ,Meals,,-21.11,Credit Card 4026,Food
